lat_deg,lon_deg,access_fraction,max_gap_s,num_complete_passes,longest_pass_s,peak_elevation_deg
62.5,117.5,0.7804473291674816,9566.280180091406,27,38571.63952119814,75.59248424872995
62.5,120.0,0.782146494078744,9498.774720622194,27,38515.59352995842,74.31750025379888
62.5,122.5,0.7839250830659598,9427.29810004255,27,38453.842011874076,73.04919527103112
62.5,125.0,0.785772117463971,9352.601836881167,27,38386.675016586814,71.78826141589786
62.5,127.5,0.7876718951870334,9274.863512374875,27,38313.29940280547,70.53534102364985
62.5,130.0,0.7896101342151409,9195.276338816235,27,38233.90817295936,69.29110418181
62.5,132.5,0.7915731956274668,9113.920911230613,27,38148.559346742855,68.05614881142189
62.5,135.0,0.793545321965617,9031.499435630158,27,38056.43588198745,66.83107676916458
62.5,137.5,0.7955119820768807,8948.893482177442,27,37957.509675509864,65.61647775056225
62.5,140.0,0.7974588170136258,8866.568557414623,27,37851.80269922962,64.41293105918055
62.5,142.5,0.7993684972750671,8785.308932354652,27,37739.03500923117,63.221006850801956
62.5,145.0,0.8012293325311411,8705.514584937344,27,37618.96378421747,62.04126702268943
62.5,147.5,0.8030261527033034,8627.833239148968,27,37491.389866028156,60.874265858464035
62.5,150.0,0.8047436702575597,8553.133117428977,27,37356.16313407218,59.72055050173906
62.5,152.5,0.8063718221610132,8481.880201894975,27,37212.8019041933,58.58066130763021
62.5,155.0,0.8078936878148649,8414.699738818003,27,37061.51213695324,57.4551321054891
62.5,157.5,0.8093019469277304,8351.788831473335,27,36902.35106956167,56.3444903956455
62.5,160.0,0.8105821796089286,8294.366017009437,27,36734.2386305666,55.24925749574806
62.5,162.5,0.8117266217828372,8242.191947627434,27,36558.18250827382,54.16994864731422
62.5,165.0,0.8127250841585629,8196.196183491378,27,36373.56131387691,53.10707308960831
62.5,167.5,0.8135704759524883,8156.67728556689,27,36180.31902997376,52.06113410549414
62.5,170.0,0.8142575801941014,8123.685514105477,27,35978.979011103205,51.03262904214425
62.5,172.5,0.814778225342452,8097.812792262281,27,35769.12748086492,50.02204930822657
62.5,175.0,0.8151287612816102,8079.256779181796,27,35551.085945984,49.029880348291044
62.5,177.5,0.8153080731561401,8068.091175496582,27,35325.10121902177,48.05660159444839
62.5,180.0,0.8153138495371643,8067.360106647946,27,35317.3225663451,47.96005719969028
62.5,182.5,0.8151455636114455,8077.861760427011,27,35543.55058275792,48.93141552543494
62.5,185.0,0.8148055261872769,8095.756804984296,27,35761.791203300934,49.921711819836936
62.5,187.5,0.8142966228673202,8120.837850696407,27,35972.022518447135,50.930467258694655
62.5,190.0,0.8136217572477185,8152.95980469184,27,36173.72713593836,51.95719699947162
62.5,192.5,0.8127864757082969,8191.862234922359,27,36367.307581185596,53.0014102319497
62.5,195.0,0.8117988188389815,8237.336954121245,27,36551.960168918595,54.0626102061674
62.5,197.5,0.8106626764433139,8288.836563699413,27,36728.61626150948,55.14029423760562
62.5,200.0,0.8093912918860212,8345.91253028647,27,36896.56862116768,56.23395368897656
62.5,202.5,0.807991553848496,8408.077667086385,27,37056.34501479799,57.34307392710569
62.5,205.0,0.8064757233509171,8475.041079035262,27,37207.812085481826,58.467134252179676
62.5,207.5,0.8048557487173734,8545.886500054505,27,37351.394269647775,59.60560779493063
62.5,210.0,0.8031423268027921,8620.252303117188,27,37487.1255570841,60.75796137494364
62.5,212.5,0.8013517539893324,8697.41284661484,27,37615.06130366307,61.92365530991062
62.5,215.0,0.7994937538700349,8777.11322062253,27,37735.35338714812,63.102143160865964
62.5,217.5,0.7975857900566553,8858.319778526202,27,37848.34919833951,64.29287139152994
62.5,220.0,0.7956423928182633,8940.533801789163,27,37954.165227674646,65.49527890976943
62.5,222.5,0.7936757807233359,9023.277847200166,27,38053.04161910922,66.70879644411012
62.5,225.0,0.7917026875925494,9105.72197963274,27,38145.340443981346,67.9328456853426
62.5,227.5,0.789738277291247,9187.130059013609,27,38231.31982241967,69.16683808775407
62.5,230.0,0.7877978353317444,9266.99619027297,27,38310.766857624054,70.41017316814758
62.5,232.5,0.7858947999244429,9344.924765687669,27,38384.116405122215,71.66223604900061
62.5,235.0,0.7840442329068465,9419.762471311726,27,38451.92251102044,72.92239383834028
62.5,237.5,0.782260309593292,9491.854336409597,27,38513.46274373704,74.1899903216426
62.5,240.0,0.780555121242294,9559.670033223461,27,38570.03364053252,75.46433691718556
62.5,242.5,0.7789432088515981,9623.444203759544,27,38620.67908713268,76.74470012519443
62.5,245.0,0.7774353541526636,9682.187487336807,27,38666.37080974132,78.03027877361338
62.5,247.5,0.7760439302248655,9735.607836534968,27,38707.06036578654,79.32016652189238
62.5,250.0,0.7747781863542422,9783.503477745922,27,38742.4348624337,80.61328846485235
62.5,252.5,0.7736486876350198,9825.28325987095,27,38773.09586556605,81.90836485514953
62.5,255.0,0.7726637202523096,9860.605923430063,27,38798.95713404124,83.21711071753404
62.5,257.5,0.7718299317342714,9889.253590043634,27,38819.99278844823,84.54538501141133
62.5,260.0,0.7711541302406368,9910.843194632791,27,38836.45910808141,85.88314074226169
62.5,262.5,0.7706413863238328,9925.397661026102,27,38848.35652610054,87.22605143034745
62.5,265.0,0.7702956976673702,9932.692295195535,27,38855.6859555128,88.5706339116069
62.5,267.5,0.7701192016388129,9933.54888399283,27,38858.44812732609,89.91387277915746
62.5,270.0,0.7701135016744197,9933.56660299853,27,38858.46532515137,89.99047409600992
62.5,272.5,0.7702785813788393,9932.828339646192,27,38856.045876506905,88.66065451420002
62.5,275.0,0.7706130489830266,9926.037250352485,27,38849.05860666373,87.31607381398376
62.5,277.5,0.7711146974483687,9911.953354520265,27,38837.50224006381,85.97295102296782
62.5,280.0,0.7717799028027301,9890.83771881459,27,38821.37530124733,84.63472800233589
62.5,282.5,0.7726028722378459,9862.689322524966,27,38800.601769339315,83.30565062039041
62.5,285.0,0.7735780245214592,9827.90067489558,27,38774.902032372935,81.99513602479243
62.5,287.5,0.7746983191856135,9786.587045434273,27,38744.5799163688,80.69996871870248
62.5,290.0,0.7759549299589913,9739.071825420004,27,38709.64265358442,79.40667432314277
62.5,292.5,0.7773383843722496,9685.923816709663,27,38669.27364369679,78.11653388318953
62.5,295.0,0.7788388489619641,9627.502819144218,27,38623.917567571785,76.8306368922506
62.5,297.5,0.7804441651228585,9564.13985058853,27,38573.484639582486,75.54989848111532
62.5,300.0,0.7821433505128867,9496.426173562075,27,38517.48020483183,74.27512545682126
62.5,302.5,0.7839221039828506,9424.891622640083,27,38456.03883458211,73.00705516884997
62.5,305.0,0.7857694216623228,9350.041468214557,27,38388.92228158268,71.74637844305182
62.5,307.5,0.7876691827958471,9272.278477927503,27,38315.86434170526,70.49375347633344
62.5,310.0,0.7896078688915521,9192.593435159259,27,38236.69825180678,69.24981453779989
62.5,312.5,0.7915710493198149,9111.168727468386,27,38151.41292371964,68.01517744036155
62.5,315.0,0.7935432722402114,9028.706564066044,27,38059.60043454438,66.79044383246034
62.5,317.5,0.7955101365924109,8946.173570740648,27,37960.93243725081,65.5762028547819
62.5,320.0,0.7974573207038153,8863.858711146328,27,37855.47351412618,64.3730334599206
62.5,322.5,0.799367149861876,8782.638227691641,27,37742.95853110371,63.18150549456159
62.5,325.0,0.8012282280177543,8702.908522457205,27,37623.14307026091,62.00218057687181
62.5,327.5,0.8030252970879667,8625.318542355642,27,37495.82619266644,60.83561273321259
62.5,330.0,0.8047429787785149,8550.670325140418,27,37360.82758364549,59.68234886604595
62.5,332.5,0.8063713567348219,8479.55703814324,27,37217.69249736982,58.54292910134674
62.5,335.0,0.8078933801608883,8412.540051174474,27,37066.656793248134,57.417887048341676
62.5,337.5,0.8093017409509017,8349.761147634868,27,36907.7174822769,56.30774999400976
62.5,340.0,0.8105820087850665,8292.54081229191,27,36740.01879543494,55.213039047696874
62.5,342.5,0.8117266759286984,8240.543272286195,27,36564.157947090105,54.13426924628987
62.5,345.0,0.8127252327478025,8194.778577236211,27,36379.86549911913,53.07194962695464
62.5,347.5,0.8135706565367894,8155.470106812449,27,36186.887957806975,52.02658327200332
62.5,350.0,0.8142577630579607,8122.704166860749,27,35985.88319626058,50.99866732871425
62.5,352.5,0.8147782915510368,8097.068095492665,27,35776.21410308932,49.988693005684766
62.5,355.0,0.8151287416131899,8078.758087835908,27,35558.50609578389,48.99714554640962
62.5,357.5,0.8153081416031139,8067.844514058728,27,35332.83640997762,48.02450418015675
65.0,0.0,0.8184265721606929,7915.187146819895,27,35419.80817621644,49.798262247334534
65.0,2.5,0.8182929348764963,7923.645520339953,27,35620.11168310768,50.726255598182966
65.0,5.0,0.8180232543585267,7937.903771556914,27,35814.05737941549,51.67237287160348
65.0,7.5,0.8176201477563353,7958.093500432558,27,36001.27319708094,52.636152070700135
65.0,10.0,0.8170844384507514,7983.860882751178,27,36181.59706778452,53.617124488219964
65.0,12.5,0.8164225973265805,8014.868015516084,27,36355.42526844703,54.614814691853134
65.0,15.0,0.8156385161847952,8051.193200368201,27,36521.70440820232,55.6287404718147
65.0,17.5,0.8147387274558836,8092.160759338411,27,36681.27550170338,56.65841274579186
65.0,20.0,0.8137302822892882,8137.586828251602,27,36833.77981058997,57.70333541443162
65.0,22.5,0.8126211083297067,8187.225114652887,27,36979.257938850904,58.763005157940405
65.0,25.0,0.8114190223604012,8240.424816715997,27,37117.870738240425,59.83691116079656
65.0,27.5,0.8101335795850544,8296.857383381343,27,37249.6044941633,60.924534746654764
65.0,30.0,0.8087751424943252,8356.09205017169,27,37374.4939416179,62.025348898675055
65.0,32.5,0.8073541083825758,8417.637656710343,27,37492.620827516075,63.13881763088388
65.0,35.0,0.8058813438218462,8481.009244598448,27,37604.11151312385,64.26439516247918
65.0,37.5,0.8043681055267695,8545.689580560196,27,37709.133607473224,65.40152482722691
65.0,40.0,0.8028259942263719,8611.13182102982,27,37807.891661421396,66.54963762113626
65.0,42.5,0.8012669184522654,8676.808779003099,27,37900.62199402321,67.70815024843274
65.0,45.0,0.799702675530081,8742.186479296302,27,37987.52579933521,68.87646246029192
65.0,47.5,0.7981447679760786,8807.062285691034,27,38068.203794477275,70.05395337916566
65.0,50.0,0.7966048329057909,8870.517700332915,27,38143.26758942311,71.23997634036208
65.0,52.5,0.7950960270319447,8932.174905574415,27,38213.105394652346,72.43385152043908
65.0,55.0,0.7936280102675687,8991.854851972545,27,38276.94618550548,73.63485518363635
65.0,57.5,0.792213038508033,9048.648407492321,27,38336.16788470792,74.8422036211474
65.0,60.0,0.7908607546327674,9102.440683493856,27,38389.51465058117,76.05502850569282
65.0,62.5,0.7895823108614772,9152.811723588733,27,38438.33507751534,77.27233786686075
65.0,65.0,0.7883866829802769,9199.062864030944,27,38482.071621568175,78.49295198675429
65.0,67.5,0.7872827910002264,9241.353277833201,27,38520.82667222177,79.71539342818858
65.0,70.0,0.7862796040613796,9278.951416063588,27,38555.1600771111,80.93768832781997
65.0,72.5,0.7853841067513464,9311.62310022302,27,38584.64843638125,82.1569840439354
65.0,75.0,0.7846026347593651,9339.186499820556,27,38609.65216461639,83.3687542427742
65.0,77.5,0.7839417110981458,9361.244346660562,27,38630.04150978732,84.56497883542093
65.0,80.0,0.7834060633470309,9378.025931672892,27,38646.054606594844,85.72944150701106
